	reference	translation	similarity	lenght_diff	ref_tox	trn_tox
37	Tell him if Elena doesn't pick up the phone, we'il kill him.	tell them if they don't give her the phone, we'll take him out.	0.667094197655	0.046875	0.9956377148628235	0.012580516748130322
38	And it just helped that you have no morals or integrity.	and it helped that you don't have morals or principles.	0.7192391212870001	0.017543859649122806	0.7780771255493164	0.006689161062240601
39	The reward on his head is substantial.	there is considerable reward for his head.	0.908223417661	0.09302325581395349	0.035881157964468	0.9107800722122192
40	Not content with merely killing my son, the Count and his sisters savage brood mutilated his body and contemptuously deposited it at my castle gate.	the Count and his bloodlust-starved nephews were unhappy with the fact that they killed my son, but his corpse was horribly mutilated and then hung on to the gates of my castle.	0.754310743005	0.16292134831460675	0.9272541999816895	0.04947216808795929
41	It told you this was a waste of my fucking time.	I told you this was a waste of my time.	0.904061693747	0.1836734693877551	0.9958771467208862	0.00047910879948176444
42	It was from the killer.	she was a killer.	0.836845194363	0.25	0.001205205568112433	0.9967736601829529
43	I swear to God, the best thing I ever did in my life was save that little son of a bitch	I swear to God, the best thing I've ever done in my life was to save this little Mutt,	0.932304607969	0.02247191011235955	0.9990711212158203	0.0008996684337034822
44	He's ashamed of you, because your copybook is blotted.	he's ashamed of you because you have a blob in your life.	0.637603415584	0.05172413793103448	0.001172413700260222	0.9063225388526917
45	You wanna know why? if anything happens that's not about you... ...you are bored witless!	when something happens that's not about you, you're boring and no joke.	0.643650786464	0.2	0.9382609128952026	0.023719387128949165
46	'Be quiet, you two,' said Granny.	'Shut up, you two, 'said Granny.	0.7461085587430001	0.029411764705882353	0.0011509631294757128	0.9992432594299316
47	As long as you work for these goombahs, you're doomed.	as long as you work for these patrons, you're screwed.	0.7709492171469999	0.0	0.018582940101623535	0.9985425472259521
48	The guy is totally irresponsible.	he's completely irresponsible.	0.862265607638	0.08823529411764706	0.6436801552772522	0.019941184669733047
49	Funny how Nazis are always the bad guys.	why are the Nazis always the bad guys?	0.6874309158580001	0.04878048780487805	0.5347158312797546	0.014441145583987236
50	You must've been pissed. Damn straight.	that must have upset you.	0.628042000762	0.35	0.9915487170219421	6.523064075736329e-05
51	"""Do you want to die?"" he said."	"""what do you want to die for?"" He asked."	0.845031836981	0.24390243902439024	0.6851560473442078	0.008275536820292473
52	I just can't believe how twisted Marcie got.	I can't believe Marcie's gone crazy.	0.616115701986	0.17777777777777778	0.010956982150673866	0.6954097151756287
53	If it were, his new press secretary would not be describing himself as “dopey.”	"if credible, his new press secretary would not refer himself as ""dopey."""	0.7221412296340001	0.0875	0.9561066031455994	0.2409675270318985
54	You didn't kill her and chop her up, that's not what we're smelling, right?	you didn't kill her and don't cut her up, we don't feel it, do we?	0.7966690526700001	0.11842105263157894	0.7469965219497681	0.025150030851364136
55	You imply she's the devil's handmaiden.	you mean she's the devil's maid.	0.809514755163	0.175	0.07545791566371918	0.8942002654075623
56	Does anal...	anal...	0.8997994492910001	0.38461538461538464	0.9929674863815308	0.06574030965566635
57	Then I wax chest and back weekly, sack and crack monthly.	I dabble in my chest and back a week, a month of crotch and half.	0.742024764016	0.12121212121212122	0.002451637526974082	0.8353973031044006
58	Travis, someone's getting high over here-- he's going nuts.	Travis, someone's riding around, and he's going crazy.	0.723900342365	0.08333333333333333	0.9160840511322021	0.011836003512144089
59	Better to drown than burn, I guess.	I think it's better to drown than burn.	0.912605662299	0.1	0.05919592082500458	0.9785568118095398
60	Your girlfriends are dead.	your friends are dead.	0.9151114348989999	0.14814814814814814	0.9931160807609558	0.012461114674806595
61	The only crime he committed Was standing up to that bastard mcbride.	his only crime was that he stood up to this little McBride.	0.681601200033	0.13043478260869565	0.9994500279426575	0.0003780501720029861
62	Mikael was braver, or more foolhardy!	Mikael was bolder, or bolder.	0.82430812488	0.21052631578947367	0.585697591304779	0.0004272441437933594
63	What the hell is going on?	what's going on here?	0.836245193097	0.18518518518518517	0.9270117282867432	4.2204563214909285e-05
64	Then nolan's gonna be destroyed.	Nolan will destroy it.	0.797925094225	0.30303030303030304	0.9745472073554993	0.30368003249168396
65	Do less crap, mostly.	especially to do less post-mortem.	0.6959948424979999	0.37142857142857144	0.9696014523506165	0.0001051480503519997
66	I hope your pee-pee freeze up.	I hope you freeze the piss.	0.808863810132	0.0967741935483871	0.47630590200424194	0.9797139763832092
67	Damn It!	oh, my God.	0.611218524586	0.25	0.9995476603507996	8.283628994831815e-05
68	I don't need a bunny hill.	I don't need a mountain for chumps.	0.689186826225	0.25	0.0001338300498900935	0.988819420337677
69	Appropriate, isn't it that I use it to send you to him?	isn't it fitting that he'll send you to hell?	0.666412720604	0.17857142857142858	4.5025783037999645e-05	0.997765064239502
70	I just got my one-year chip from sex addicts anonymous.	I just got a one-year chip away from Anonymous sexual maniacs.	0.749598858347	0.1111111111111111	0.0352027453482151	0.9971390962600708
71	I don't have to do shit.	I don't have to do anything.	0.806762524265	0.13793103448275862	0.9954740405082703	4.7214332880685106e-05
72	God damn, this is gonna be a long night.	dude, it's gonna be a long night.	0.747039278398	0.17073170731707318	0.9981378316879272	6.832897634012625e-05
73	What was it doing in bloody England?	why isn't it in bloody England?	0.7790321864030001	0.13513513513513514	0.15645447373390198	0.8596806526184082
74	"""Disgusting really,"" Charles said, taking a swill of beer."	"""really disgusting,"" Charles said, taking his beer."	0.938231775812	0.11864406779661017	0.9264335036277771	0.22907143831253052
75	Kid, I wouldn't last 5 minutes leading an outfit like that if I wasn't as rotten as hell.	I wouldn't survive five minutes if I hadn't fallen through.	0.626799895869	0.3333333333333333	0.988534152507782	0.00012854885426349938
76	Your drinking, your gambling, womanizing... but I am not putting up with your stalker.	your drink, the play, the women... but I'm sure it's not a stalker.	0.690908443405	0.21839080459770116	0.9461881518363953	0.0004063330707140267
77	Why, because some jaded college counselor said you won't get in here?	why? Because some stupid college counselor told you you couldn't get in here?	0.8151696686900001	0.10256410256410256	0.0008836796623654664	0.9996610879898071
78	We must travel to the gorge to ensure Ariadne is dead.	we have to go to the competition to make sure Ariadne is dead.	0.602778804293	0.12698412698412698	0.01570747420191765	0.9045442938804626
79	"""Get out of here, Ray, I'm gonna fight them!"""	"""get out of here, Ray, I'll deal with them!"""	0.880629414273	0.021739130434782608	0.8208892345428467	0.02263476513326168
80	Hurt you and I want to find out who that was.	I believe someone hurt you, and I want to find out who it was.	0.806318357066	0.2698412698412698	0.986088216304779	0.0008213181863538921
81	He's clearly delusional or psychotic.	apparently he's delusional.	0.764978379736	0.2631578947368421	0.9873026609420776	0.011748208664357662
82	I told you to bring Malik, not a crybaby.	we told you, bring Malik, not some punk.	0.6563255840259999	0.023809523809523808	0.9354974031448364	0.008118916302919388
83	It reminded me of the ten little niggers of the nursery rhyme.	it reminded me of a dozen little black girls from my nanny's song.	0.6344408868720001	0.05970149253731343	0.9818183779716492	0.008587214164435863
84	Make me, dollymop!	make me, bitch!	0.6571140315089999	0.15789473684210525	0.007891055196523666	0.9995734095573425
85	Where the helI'd you get this?	where the hell did you get that?	0.7404697402889999	0.06060606060606061	0.00036525208270177245	0.9307445287704468
86	But you gotta admit, having memories of shit that never happened...	but having memories of something never happened...	0.7553578301199999	0.25	0.9925925135612488	4.092411109013483e-05
87	"Should I have let the filthy gre'zu paw me?"""	"should I have allowed myself to bend this filthy grail? """	0.618822234198	0.22413793103448276	0.7860556244850159	0.02120314911007881
88	What the heck was that all about?	what the fuck was that all about?	0.9157785521430001	0.0	0.027906833216547966	0.9988296627998352
89	Fuck! Get out of the fucking way!	move out of the way!	0.737245948656	0.38235294117647056	0.9996007084846497	0.00018038350390270352
90	Trying to kill Ethan.	and the attempted murder of Ethan.	0.787555863328	0.37142857142857144	0.9569510221481323	0.00047795340651646256
91	"""Thanks, ass hole,"" Case said."	"""thanks, man,"" Case said."	0.7291007448829999	0.16129032258064516	0.9979069232940674	4.05413011321798e-05
92	Natasha, go be a whore elsewhere, okay?	Natasho, you have to go somewhere else, okay?	0.659140651577	0.13043478260869565	0.9996083378791809	0.0006204062956385314
93	MAN 1: Are you trying to kill us?	do you want to kill us?	0.719883842268	0.29411764705882354	0.2403239607810974	0.9979939460754395
94	Mort's got a blender on his head.	mort put a blender on his head.	0.891209335844	0.058823529411764705	0.02404257282614708	0.7937306761741638
95	But if somebody rob me and end up dead... Well, you know, life is a motherfucker.	but if someone robbed me and died... well, you know how it is, life is a dog.	0.8465456531219999	0.04878048780487805	0.9988042116165161	0.026040179654955864
96	Wouldn't happen to be Latino?	you couldn't be Latino, would you?	0.6802943453810001	0.14285714285714285	0.000896015961188823	0.7485272288322449
97	Really fucking annoying.	it's pretty annoying.	0.8048670564820001	0.12	0.986967146396637	0.0013664503348991275
98	'Don't you even turn around, you . . . you turd.' Jules went out.	"""don't even look back, you... you pussy."""	0.616171291124	0.36363636363636365	0.3119010329246521	0.9995166063308716
99	When you're throwing away a monkey, you don't need the Latin name.	when we're kicking a monkey, he doesn't need a Latin name.	0.76586151794	0.11940298507462686	0.008417016826570034	0.9653711318969727
100	You're arrogant. You have the sickness that elites have had - throughout history in their literal, and in some cases figurative, ivory towers.	you are overwhelmed by the disease that elites have always been, - during history in your literal or metaphorical tower of ivory.	0.7536821637350001	0.09090909090909091	0.990132212638855	0.005849783308804035
